,GUID,GEOGID,GEOGDESC,0 - 9 years,10 - 19 years,20 - 29 years,30 - 39 years,40 - 49 years,50 - 59 years,60 - 69 years,70 - 79 years,80 years and over
719,2AE1962918DD13A3E055000000000001,ED3409_09046,Corboy,51,58,29,44,50,65,40,37,14
720,2AE1962918EC13A3E055000000000001,ED3409_09047,Drumgort,51,55,34,42,59,68,43,46,24
721,2AE1962918F513A3E055000000000001,ED3409_09048,Drumlish,282,189,169,207,207,172,149,74,26
722,2AE19629191113A3E055000000000001,ED3409_09049,Killashee,68,54,48,73,58,55,49,20,12
723,2AE19629191813A3E055000000000001,ED3409_09050,Killoe,37,35,17,36,30,32,46,26,15
724,2AE19629192713A3E055000000000001,ED3409_09051,Longford Rural,996,834,652,907,724,566,475,324,226
725,2AE19629193113A3E055000000000001,ED3409_09052,Mountdavis,37,47,14,32,37,36,29,11,9
726,2AE19629193213A3E055000000000001,ED3409_09053,Moydow,127,110,53,112,123,82,70,40,13
727,2AE19629194213A3E055000000000001,ED3409_09054,Newtown Forbes,109,128,85,124,130,120,128,48,25
728,2AE19629194313A3E055000000000001,ED3409_09055,Rathcline,203,193,124,197,192,191,160,136,47
729,2AE1962918C813A3E055000000000001,ED3409_10001,Fair Gate,1419,998,1342,1766,1232,1262,1203,765,437
730,2AE19629193513A3E055000000000001,ED3409_10002,St. Laurence Gate,614,427,498,711,557,504,371,244,142
731,2AE19629191E13A3E055000000000001,ED3409_10003,West Gate,794,768,809,912,938,826,539,529,190
732,2AE19629193613A3E055000000000001,ED3409_10004,Dundalk Urban No. 1,235,185,297,329,293,278,244,198,117
733,2AE19629193713A3E055000000000001,ED3409_10005,Dundalk Urban No. 2,119,105,185,212,139,134,122,78,46
734,2AE1962918E313A3E055000000000001,ED3409_10006,Dundalk Urban No. 3,152,180,369,266,196,187,169,117,74
735,2AE19629193813A3E055000000000001,ED3409_10007,Dundalk Urban No. 4,784,689,831,1022,840,807,660,317,180
736,2AE19629194E13A3E055000000000001,ED3409_10008,Ardee Rural,416,463,273,302,481,412,306,188,94
